What are the factors that influence your learning pace and how much time you spend?,
15740,How busy my school schedule is
15742,Exams and studying for coursework 
15743,时间因素。家庭新添加了宝宝。使我每周的学习时间减少了。现在每周只能学习2小时左右。
15746,"Sleepiness, uni workload, room maintenance stuff"
15748,"Deadlines, Project completion, learning new topics"
15749,Building logic and understand complex topics
15751,Family time constraints
15752,"Sağlık, aile, iş hayatı"
15755,My interest in the topic 
15756,Work tasks and personal problems 
15758,먼저 정리하면서 이해하고 이해가 안될 때는 코드로 구현 하는 것
15759,Having free time from my daily job.
15760,Lack of time
15764,학습시간이 처음보다 점점 줄어간다
15765,"J'étudie de nouveaux sujets en fonction des projets en cours. S'ils requièrent des connaissances que je n'ai pas, alors je me formerai."
15766,Work load from work
15768,"Charge de travail, besoins, envie actuel, manque de contenu"
15771,学习资料的收集
15772,"aktuelle interesse, Zeit zur vefügung, notwendigkeit"
15773,"Difficulty of content, other commitments"
15775,Actividades escolares 
15779,"The interest in the subject, time for other things e.g. school, work, family, friends ect."
15780,Exam 
15781,工作与生活不能跟学习兼容
15784,Le sommeil 
15787,"Carga horária de trabalho e vida pessoal influenciam. Gasto em média menos de 1h por dia para estudar, mas as vezes nem isso."
15788,"Workload afftecs it alot, I am very high paced at studying after exams when I don't have much to do "
15793,"Work is what primarily influences my learning pace. A rougher or longer week at work will affect my energy levels, and subsequently, ability to study effectively for that week. The next most influential factor is my social life."
15797,How interested I am in a topic or how much I need it for studies
15799,"I have no constraints, I will focus on somethint until I have achieved what I set out to achieve. "
15801,Motivation 
15802,o assunto a ser estudado
15803,"Principalmente se é alinhado a faculdade me influência mais a estudar, mas geralmente é pelo o q eu gosto eu dou bastante atenção e eu fico estudando por umas horas não sei a quantidade ao certo"
15804,"Motivation, topic and personal life"
15809,"Life commitments, importance of topic"
15815,Motivation and work pressure
15816,Charge professionnelle 
15818,A disponibilidade de recurso e a existencia de prazos 
15832,Bebeğimin olması 
15834,"Interest, curiosity, deadlines, complexity"
15837,"Interest in the topic, if there are novel use cases to explore"
15839,"Prior knowledge, interests and motivations"
15840,I need to work a shitty retail job to fund my MS
15842,"The most significant factor is my CS studies since I dedicate a huge amount of time to them (one more semester to go!). Additionally, I share my time with a full-time job, a dog and a cat, friends, and my lovely fiancee. However, I usually try to spend a bit of time every day learning something new, just for fun. Usually, it is from 15 minutes to 4 hours depending on the spare time I have."
15846,"Vorhandene Zeit, Motivation"
15848,Hepsi 
15853,"Mis otras actividades personales, pero siempre trato de hacer el aprendizaje mi prioridad"
15854,Mental motivation plays the largest role. If I feel busy elsewhere in my life I typically spend much less time learning.
15856,A veces me siento perdido para donde seguir aprendiendo y por falta de motivación 
15857,"Tempo, e disponibilidade "
15859,Aktuelle Arbeitsbelastung und Projektpläne
15860,Motivation and flexibility of current schedule. I have several things on the go for learning and depends on what I am interested in at the time what I spend time on.
15868,How motivated I am to continue with my projects that I'm applying the studies information to 
15869,It really depends on deadlines and how focussed I can be in the moment. I tend to have burst of high effort high paced study for a couple days followed by less intense slower paced study. 
15871,A veces no tener un orientación clara hay mucha información 
15878,Mostly influenced by university modules or projects I'd like to work on
15879,Family and work commitments
15885,Motivation and inspiration 
15892,Extra hours to spend on work 
15897,Tempo e cansaço. Geralmente gasto de 2 a 3 horas por dia.
15901,"Actualmente por falta de trabajo, le puedo dedicar mucho tiempo a los estudios "
15904,"- Motivation
- wie viel Freizeit noch übrig bleibt"
15906,Trabajo
15910,大学の授業、アルバイト
15918,En la cantidad de tiempo que pueda dedicar una vez haya terminado tareas y proyectos de mi universidad y la cantidad de tareas domésticas que realice al día.
15919,During the semester I try to stay on top of all my modules but having more projects and moving closer to the deadlines means having less time to attend all the lectures and tutorials and studying lecture content at home
15920,"Principalmente o horário da minha universidade, que define toda minha rotina. Fora isso, a presença de recursos online (especialmente boa documentação) acelera muito o aprendizado."
15923,Other commitments and in general my interest and the things going around
15927,A veces me siento perdido sobre cómo seguir y por falta de motivación 
15928,la carga horaria laboral y las demandas familiares que me convocan 
15931,The interest I have in the topic I'm learning dictates the pace I learn it with and that also proportionated to how much time I give to learn something.
15934,Difficulty of topic and my comprehension ability
15938,"I think the time,because I work at 9am at 6 pm, and at night (7:30pm to 22:30pm) I'm in a University. So I don't have much time in a week, but in weekends I spend 5 hours in Saturday and 5 hours in Sunday. "
